"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet","Voltage","Tolerance","Description","#","Current"
"C1,C2","2","470uF_25V","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","","","470uF, 25V Electrolytic Capacitor","1",""
"C3,C4","2","22nF","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_SparkFun-Capacitor:C_0603_1608Metric","https://datasheets.kyocera-avx.com/X7RDielectric.pdf","50V","10%","Unpolarized capacitor","2",""
"C5,C6","2","100nF_Ceramic","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","100nF Ceramic Capacitor","3",""
"D1","1","Red","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_SparkFun-LED:LED_5mm_PTH_Red_Silk","https://cdn.sparkfun.com/assets/e/c/e/c/5/COM-09590-YSL-R531R3D-D2.pdf","","","Light emitting diode PTH 5mm diameter","4",""
"J1","1","Conn_01x07_Pin","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_SL_Connectors:PinHeader_1x07_P2.54mm_Vertical","","","","Generic connector, single row, 01x07, script generated","5",""
"J2","1","Conn_01x14_Pin","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical","","","","Generic connector, single row, 01x14, script generated","6",""
"J3","1","Conn_01x08_Pin","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","","","","Generic connector, single row, 01x08, script generated","7",""
"J4","1","Ext_supply","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_SparkFun-Connector:ScrewTerminal_1x02_P3.5mm_Horizontal_Black","https://cdn.sparkfun.com/assets/8/5/e/4/d/ASS_4091_CO.pdf","","","Screw terminal","8",""
"L1","1","10uH_5x5mm_1.0A","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_Inductor_THT_AKL:L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2","https://products.sumida.com/products/pdf/CDRH4D28.pdf","","","Inductor","9","1000mA"
"R1","1","10k","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_SparkFun-Resistor:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-CFR_DATASHEET.pdf","","","Resistor Axial PTH","10",""
"R2","1","330 R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","","330Ω, 1/4W Resistor","11",""
"SW2","1","Push_Button","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_THT:SW_PUSH_6mm","","","","Common 6mmx6mm Push Button","12",""
"U1","1","ATmega328P-P","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","","","20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, DIP-28","13",""
"U2","1","AS7805AT-G1","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.diodes.com/assets/Datasheets/AS78XXA.pdf","","","TO-220 5V 1A 3-terminal voltage regulator, Alternate KiCad Library","14",""
"Y1","1","Crystal_16MHz","","","","","${EXCLUDE_FROM_POS_FILES}","Crystal:Crystal_HC49-4H_Vertical","","","","16Mz Crystal","15",""
